;;;TKY 12 / Servin Maijan tie 8-12;;;;;;;;;;;;;;;
Street address;;;Servin Maijan tie 10;;;;;;;;;;;;;;;
Postal code;;;02150;;;;;;;;;;;;;;;
City;;;Espoo;;;;;;;;;;;;;;;
Facility type;;;Residential buildings for communities;;;;;;;;;;;;;;;
Area;;; ;;;;;;;;;;;;;;;
Construction year;;;1969;;;;;;;;;;;;;;;
Renovation year;;;2003;;;;;;;;;;;;;;;
Electricity Tax Class;;;Electricity tax class 1;;;;;;;;;;;;;;;
Ownership;;;;;;;;;;;;;;;;;;
Locale;;;Europe/Helsinki;;;;;;;;;;;;;;;
Enegia Id;;;;;;;;;;;;;;;;;;
Company identifier;;;;;;;;;;;;;;;;;;
Share of temperature fixing;;;85;;;;;;;;;;;;;;;
Number of persons;;;200;;;;;;;;;;;;;;;
Heating method;;;District heating;;;;;;;;;;;;;;;
Electricity company;;;;;;;;;;;;;;;;;;
Electricty usage place number;;;;;;;;;;;;;;;;;;
Number of main meters;;;;;;;;;;;;;;;;;;
;Electricity automatic;;1;;;;;;;;;;;;;;;
;District heating automatic;;1;;;;;;;;;;;;;;;
;Water automatic;;1;;;;;;;;;;;;;;;
Number of sub-meters;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Month;Electricity [kWh];;;;;;District heating [MWh];;;;;;Water [m³];;;;;
;1.1.2018 - 31.12.2018;q;1.1.2019 - 31.12.2019;q;1.1.2018 - 31.12.2018 ➜ 1.1.2019 - 31.12.2019 %;1.1.2018 - 31.12.2018 ➜ 1.1.2019 - 31.12.2019;1.1.2018 - 31.12.2018;q;1.1.2019 - 31.12.2019;q;1.1.2018 - 31.12.2018 ➜ 1.1.2019 - 31.12.2019 %;1.1.2018 - 31.12.2018 ➜ 1.1.2019 - 31.12.2019;1.1.2018 - 31.12.2018;q;1.1.2019 - 31.12.2019;q;1.1.2018 - 31.12.2018 ➜ 1.1.2019 - 31.12.2019 %;1.1.2018 - 31.12.2018 ➜ 1.1.2019 - 31.12.2019
1;100 158;0;98 054;0;-2,1;-2 104;318,41;0;363,52;0;14,2;45;142,74;0;144,57;0;1,3;2
2;88 923;0;93 306;0;4,9;4 383;348,49;0;274,19;0;-21,3;-74;130,49;0;140,16;0;7,4;10
3;98 307;0;94 375;0;-4,0;-3 932;328,07;0;285,52;0;-13,0;-43;145,29;0;146,52;0;0,8;1
4;82 014;0;77 384;0;-5,6;-4 630;192,93;0;191,52;0;-0,7;-1;146,43;0;143,62;0;-1,9;-3
5;76 238;0;75 856;0;-0,5;-382;95,04;0;131,20;0;38,0;36;142,63;0;147,83;0;3,6;5
6;67 160;0;67 941;0;1,2;781;70,22;0;64,54;0;-8,1;-6;117,84;0;125,82;0;6,8;8
7;69 785;0;69 648;0;-0,2;-137;57,69;0;62,69;0;8,7;5;116,32;0;121,50;0;4,5;5
8;72 023;0;72 072;0;0,1;49;55,12;0;62,51;0;13,4;7;119,10;0;140,61;0;18,1;22
9;75 613;0;77 648;0;2,7;2 035;89,97;0;116,14;0;29,1;26;144,35;0;151,66;0;5,1;7
10;89 209;0;85 616;0;-4,0;-3 593;182,08;0;229,89;0;26,3;48;153,79;0;157,67;0;2,5;4
11;86 355;0;42 807;1;-50,4;-43 548;239,13;0;74,01;1;-69,1;-165;144,73;0;70,73;1;-51,1;-74
12;86 378;0;;;0;0;311,47;0;;;0;0;125,48;0;;;0;0
Total;992 163;;854 707;;-13,9;-51 078,0;2 288,62;;1 855,73;;-18,9;-121,4;1 629,19;;1 490,69;;-8,5;-13,0
Minimum;67 160;;42 807;;-50,4;-43 548,0;55,12;;62,51;;-69,1;-165,1;116,32;;70,73;;-51,1;-74,0
Maximum;100 158;;98 054;;4,9;4 383,0;348,49;;363,52;;38,0;47,8;153,79;;157,67;;18,1;21,5
Average;82 680;;77 701;;-4,8;-4 256,5;190,72;;168,70;;1,5;-10,1;135,77;;135,52;;-0,2;-1,1
